text,attitudes,comments,reposts
#秒懂垃圾分类#打碎的玻璃杯你会投到哪个垃圾桶？ 英文王子_张介英的微博投票,1,1,0
#秒懂垃圾分类#旧纸箱你会投到哪个垃圾桶？ 英文王子_张介英的微博投票,1,1,0
#垃圾分类#干垃圾和湿垃圾 分的对吗,0,0,0
#男生女生向前冲# 现场挑战#垃圾分类# 过程不重要！重要的是，你们都知道怎么分类了吧？！ 男生女生向前冲的微博视频,13,4,6
垃圾分类很重要，@昆明同城 @Your聪哥 #垃圾分类##昆明垃圾分类#,1,1,0
垃圾分类给我造成了非常大的心理压力。以前吃完饭，已经做好心理准备，承受阿姨灵魂拷问：今天你是什么垃圾？今天我吃完饭，远远的，阿姨喊了起来：来了来了！垃圾来了#垃圾分类#,2,0,0
恶作剧之吻2里面的垃圾分类哈哈哈#江直树的垃圾分类##垃圾分类#,1,0,0
#德阳身边事# 垃圾究竟该怎么分类？今天上午11点FM102.3将邀请专业人士现场为你讲解！详情请点击：垃圾究竟该怎么分类？今天上午11点FM102.3将邀请专业人士现场为你讲解！ #垃圾分类#,0,0,1
#垃圾分类#,0,0,0
#垃圾分类# 加油鸭！冲！为了美好环境,0,0,0
#垃圾分类# 【垃圾分类的战争已经迫在眉睫，我们没有那么多的时间适应】中国不能再等了！垃圾分类，势在必行。中国是世界第一垃圾制造大国，目前全国生活垃圾年产量为4亿吨左右，并以大约每年8%的速度递增。垃圾回收利用低，堆积如山，更危害地球生物，最终害了自己。其实这些垃圾并没有消失，它们会以 ...全文,59,2,1
#垃圾分类# 对于垃圾分类的事情，@苏宁易购 苏宁易购恐怕还有一些话语权，是什么呢？,0,2,0
#垃圾分类#关于垃圾分类的一些小知识，环保从身边做起！,11,1,19
轮到你了反击篇第二集 字幕组太调皮了（最后一行… #垃圾分类#,5,1,0
#垃圾分类# 《触目惊心！我们为什么要垃圾分类！》 触目惊心！我们为什么要垃圾分类！,0,1,0
#垃圾分类# 垃圾分类刻不容缓，想知道更多小秘密，就要上苏宁易购,0,0,0
#垃圾分类#,0,0,0
